"ACTR3B","ANLN","BAG1","BCL2","BIRC5","BLVRA","CCNB1","CCNE1","CDC20","CDC6","CDH3","CENPF","CEP55","CXXC5","EGFR","ERBB2","ESR1","EXO1","FGFR4","FOXA1","FOXC1","GPR160","GRB7","KIF2C","KRT14","KRT17","KRT5","MAPT","MDM2","MELK","MIA","MKI67","MLPH","MMP11","MYBL2","MYC","NAT1","NDC80","NUF2","ORC6L","PGR","PHGDH","PTTG1","RRM2","SFRP1","SLC39A6","TMEM45B","TYMS","UBE2C","UBE2T","subtype"
44,50,76,80,12,66,56,8,38,22,40,58,26,72,54,98,88,10,62,96,44,70,64,28,30,34,32,84,78,24,2,60,92,100,36,86,82,14,6,4,90,52,20,48,74,94,68,46,16,18,"BRCA.LumA"
14,42,68,80,30,78,56,4,44,36,52,54,32,58,26,84,96,12,2,90,18,72,40,34,82,94,98,76,74,24,6,62,88,92,46,60,86,20,10,8,48,66,38,64,70,100,16,50,28,22,"BRCA.LumA"
34,44,82,92,58,78,76,16,62,32,12,72,40,60,10,90,88,18,50,96,22,80,54,38,4,6,8,86,84,30,2,70,100,98,56,64,42,48,24,20,36,28,68,46,14,94,74,52,66,26,"BRCA.LumA"
20,38,56,84,34,80,72,4,42,24,30,78,28,64,10,86,100,6,32,94,8,62,22,48,76,88,96,82,74,36,2,68,90,92,66,50,60,18,26,16,70,44,46,54,14,98,12,40,58,52,"BRCA.LumA"
14,52,80,88,48,76,64,12,50,60,40,74,22,72,4,90,98,16,20,96,6,78,56,54,38,30,42,94,82,46,2,68,92,86,34,70,84,24,18,10,62,26,36,66,32,100,8,58,44,28,"BRCA.LumA"
14,64,54,34,40,60,36,4,52,58,82,70,50,56,38,94,96,24,6,92,8,48,30,44,68,78,74,88,86,26,2,84,90,100,72,80,12,10,20,16,76,62,32,66,28,98,22,18,46,42,"BRCA.LumA"
28,40,72,84,16,66,52,4,38,24,58,62,20,68,44,96,98,6,30,92,42,64,60,32,80,74,76,90,78,14,12,54,94,86,22,82,70,8,10,2,46,48,18,50,88,100,56,34,36,26,"BRCA.LumA"
34,22,70,92,58,62,64,10,52,46,18,74,38,84,6,90,98,16,12,94,8,50,68,48,36,30,20,88,80,42,4,76,86,96,54,78,82,26,24,28,60,14,40,72,44,100,2,56,66,32,"BRCA.LumA"
48,32,96,82,46,80,70,8,28,40,22,68,24,66,2,88,92,14,72,90,12,74,42,20,54,64,58,86,78,26,4,62,98,94,34,76,84,18,16,10,6,38,50,60,30,100,52,36,44,56,"BRCA.LumA"
22,70,82,50,38,74,60,10,54,24,36,76,56,68,20,92,96,30,58,98,26,62,28,42,2,8,6,80,78,44,4,84,94,100,66,72,90,18,16,12,86,32,34,64,52,88,14,40,46,48,"BRCA.LumA"
12,60,88,78,20,56,72,6,54,26,28,86,36,50,10,80,94,18,2,92,14,32,24,42,68,40,62,64,70,22,4,82,90,84,44,66,96,34,30,8,98,52,46,76,74,100,16,58,48,38,"BRCA.LumA"
40,24,82,70,56,86,76,10,46,30,16,54,28,62,4,94,98,18,4,90,8,74,52,48,64,58,26,80,78,20,6,66,92,88,34,32,96,38,22,14,42,84,72,68,12,100,60,36,50,44,"BRCA.LumA"
58,46,98,84,56,78,70,14,38,50,10,68,34,76,4,88,96,12,60,94,18,74,62,42,6,20,16,90,82,26,2,66,92,72,28,80,48,40,22,24,86,54,44,64,8,100,32,52,30,36,"BRCA.LumA"
60,36,92,88,18,86,56,16,38,32,12,64,34,78,50,84,94,14,8,90,54,80,62,26,10,2,4,74,82,20,6,58,96,76,24,72,66,28,52,22,98,70,42,44,68,100,48,46,30,40,"BRCA.LumA"
30,58,84,86,28,76,60,4,50,48,52,78,40,72,8,92,98,22,62,94,20,68,64,44,10,14,12,90,80,38,2,70,100,74,36,82,46,18,26,6,88,24,34,56,54,96,16,66,32,42,"BRCA.LumA"
12,54,60,68,56,82,58,2,52,14,48,84,36,76,46,90,92,18,38,96,8,66,40,34,72,74,78,32,80,22,4,86,94,100,42,64,70,10,26,6,16,28,30,62,88,98,20,24,44,50,"BRCA.LumA"
40,24,80,62,28,70,50,2,26,20,78,48,24,52,18,90,84,12,32,82,58,54,60,12,100,96,94,64,68,8,72,46,88,76,30,66,86,14,6,4,56,74,38,36,98,92,42,44,16,34,"BRCA.LumA"
20,60,98,90,42,62,56,16,26,58,38,76,34,70,6,96,88,32,66,84,4,48,52,28,8,12,22,92,74,54,2,78,94,86,68,82,72,24,18,14,80,46,30,44,10,100,36,64,50,40,"BRCA.LumA"
34,44,72,66,10,82,48,2,24,40,58,62,36,70,26,86,90,18,14,94,28,68,46,22,78,80,76,84,74,32,8,60,98,96,38,52,92,6,20,4,88,54,12,56,64,100,16,42,30,50,"BRCA.LumA"
22,36,68,82,10,72,46,6,42,28,30,58,32,64,38,96,98,8,52,90,20,62,40,44,80,60,74,86,76,18,6,70,88,84,50,78,92,24,12,2,66,54,34,56,94,100,16,48,26,14,"BRCA.LumA"
6,46,70,62,44,66,72,2,50,48,40,82,32,80,10,98,86,26,78,92,8,76,54,28,60,68,64,16,56,24,4,88,90,94,74,58,96,14,20,12,22,38,34,84,42,100,18,36,52,30,"BRCA.LumA"
64,52,90,92,46,80,70,10,56,50,14,72,42,82,12,68,100,24,28,96,18,78,60,48,6,8,6,16,84,34,2,76,94,86,26,88,36,40,38,22,30,66,62,74,20,98,32,58,54,44,"BRCA.LumA"
38,58,86,78,26,76,60,82,54,42,14,70,36,52,8,92,98,24,62,94,18,66,68,56,4,10,2,90,84,34,12,74,100,88,46,72,22,48,28,20,16,64,32,50,6,96,44,80,40,30,"BRCA.LumA"
14,42,72,86,20,82,50,6,44,28,52,66,30,64,18,90,98,10,2,92,22,76,42,26,74,70,68,84,80,16,4,62,88,100,38,54,94,24,12,8,78,60,36,48,58,96,56,46,34,32,"BRCA.LumA"
34,56,74,82,32,78,60,12,48,52,16,72,40,76,22,92,100,40,10,94,14,66,62,42,2,6,8,86,80,36,6,70,90,98,64,68,88,18,50,26,84,24,30,58,28,96,20,46,44,54,"BRCA.LumA"
46,34,68,80,6,56,44,18,30,26,64,54,12,62,60,94,96,2,32,98,52,66,58,24,86,74,88,78,72,16,38,42,90,76,20,70,84,8,10,4,82,50,22,28,92,100,48,40,14,36,"BRCA.LumA"
50,44,90,86,48,64,62,22,28,56,74,70,46,76,10,98,96,26,16,92,12,72,84,24,2,18,6,88,82,20,8,60,94,80,42,78,68,30,36,14,32,34,40,58,6,100,66,52,38,54,"BRCA.LumA"
20,62,64,76,44,78,66,14,36,68,54,80,48,72,10,94,98,24,6,92,8,56,42,40,46,52,58,88,86,18,4,82,90,96,60,74,50,16,22,12,84,28,32,70,30,100,2,38,34,26,"BRCA.LumA"
32,40,72,78,14,64,36,2,22,26,68,58,18,70,50,98,96,8,60,92,46,66,56,20,86,80,84,62,74,10,38,52,76,88,42,82,90,6,12,4,48,54,24,44,94,100,16,28,34,30,"BRCA.LumA"
34,66,74,82,20,72,58,4,54,30,36,80,38,68,18,88,92,12,10,94,8,70,64,50,32,14,16,84,78,24,2,76,98,90,26,62,86,28,42,6,96,60,22,52,46,100,48,56,44,40,"BRCA.LumA"
40,68,66,74,46,70,76,8,58,28,24,78,44,82,36,94,92,16,62,96,12,72,30,54,6,18,4,86,98,34,2,84,88,100,52,64,48,26,22,20,14,32,42,80,60,90,10,56,50,38,"BRCA.LumA"
46,38,78,82,14,76,48,4,36,30,52,56,28,68,50,94,86,10,16,90,26,72,60,32,58,66,64,84,80,22,2,62,92,100,34,74,88,12,8,6,98,42,20,40,54,96,70,44,18,24,"BRCA.LumA"
40,36,88,70,50,82,64,8,48,16,38,54,24,14,2,84,90,10,4,86,18,60,42,28,92,80,74,76,72,24,30,58,98,78,34,56,96,32,20,6,94,62,66,44,68,100,12,46,26,52,"BRCA.LumA"
14,44,66,84,32,50,68,16,48,58,64,74,34,76,24,90,100,10,6,86,8,54,46,42,70,78,80,92,94,26,4,82,88,62,52,72,40,18,12,30,96,28,22,60,56,98,2,38,36,20,"BRCA.LumA"
24,48,58,72,6,66,54,4,44,16,78,74,20,70,42,100,94,10,26,92,32,50,90,34,82,88,84,40,76,28,14,68,86,98,46,62,56,22,12,8,60,52,30,64,80,96,2,38,36,18,"BRCA.LumA"
34,18,78,68,22,76,64,6,32,26,56,60,24,52,4,92,100,12,42,94,28,72,54,20,88,82,80,58,74,14,10,50,96,90,36,62,84,30,16,2,86,66,46,48,70,98,8,44,38,40,"BRCA.LumA"
48,34,78,74,50,86,72,10,44,54,22,80,40,68,4,90,100,14,12,94,6,84,58,52,46,18,30,76,82,26,2,70,96,92,60,28,98,20,32,16,8,42,64,56,24,88,38,36,62,66,"BRCA.LumA"
26,48,72,82,16,66,62,4,42,24,64,76,18,80,8,88,98,14,36,96,6,68,52,30,58,70,60,90,84,20,2,54,86,100,46,78,74,32,22,10,94,28,34,40,12,92,44,56,50,38,"BRCA.LumA"
42,44,82,86,16,64,50,6,28,40,68,58,14,70,52,96,98,12,2,90,32,66,60,26,80,76,78,88,72,34,18,54,94,84,36,62,92,24,8,10,48,56,20,46,74,100,4,38,22,30,"BRCA.LumA"
12,52,70,78,32,66,56,4,50,36,54,80,38,74,14,88,90,22,8,94,10,58,40,44,62,68,64,92,76,28,2,72,86,100,42,82,84,18,20,6,98,16,30,60,46,96,24,48,26,34,"BRCA.LumA"
