exp_id,number_of_variables_step1,number_of_variables_step2
1,49,515
2,49,436
3,49,386
4,49,386
5,49,388
6,49,341
7,49,398
8,49,447
9,49,440
10,49,446
11,49,526
12,49,409
13,49,388
14,49,407
15,49,428
16,49,395
17,49,437
18,49,417
19,49,468
20,49,409
21,49,410
22,49,442
23,49,395
24,49,448
25,49,459
26,49,393
27,49,467
28,49,439
29,49,459
30,49,400
31,49,422
32,49,474
33,49,469
34,49,390
35,49,459
36,49,456
37,49,359
38,49,411
39,49,448
40,49,441
41,49,510
42,49,392
43,49,389
44,49,358
45,49,403
46,49,457
47,49,458
48,49,368
49,49,511
50,49,438
