exp_id,number_of_variables_step1,number_of_variables_step2
1,339,298
2,354,336
3,316,304
4,347,358
5,301,283
6,336,302
7,341,330
8,318,295
9,329,295
10,342,320
11,308,290
12,302,320
13,345,332
14,326,324
15,349,308
16,316,300
17,332,332
18,310,280
19,297,295
20,304,289
21,293,284
22,309,303
23,324,345
24,337,333
25,345,380
26,302,313
27,330,312
28,306,291
29,337,314
30,304,270
31,333,308
32,350,325
33,349,351
34,315,310
35,326,332
36,312,302
37,350,304
38,339,355
39,342,340
40,349,329
41,316,294
42,346,362
43,360,363
44,309,318
45,314,312
46,341,301
47,321,317
48,330,299
49,331,324
50,363,325
