exp_id,number_of_variables_step1,number_of_variables_step2
1,151,90
2,209,169
3,55,64
4,140,198
5,80,84
6,53,66
7,88,78
8,228,143
9,49,80
10,196,112
11,44,98
12,93,193
13,133,102
14,146,216
15,124,107
16,69,164
17,182,174
18,131,111
19,111,91
20,63,66
21,40,105
22,142,121
23,115,214
24,214,75
25,185,84
26,184,121
27,149,125
28,67,174
29,42,77
30,57,116
31,64,79
32,90,144
33,100,184
34,138,116
35,100,61
36,118,150
37,117,108
38,87,93
39,97,46
40,102,63
41,93,74
42,136,47
43,55,133
44,40,126
45,82,106
46,52,59
47,134,280
48,107,113
49,139,145
50,103,105
