exp_id,number_of_variables_step1,number_of_variables_step2
1,617,1053
2,593,995
3,610,961
4,591,985
5,582,940
6,572,914
7,587,978
8,585,974
9,567,983
10,560,948
11,597,986
12,619,1052
13,588,1019
14,562,1012
15,606,991
16,567,963
17,560,904
18,606,1039
19,601,1022
20,579,956
21,549,956
22,589,925
23,601,973
24,585,973
25,585,883
26,563,951
27,597,985
28,554,914
29,618,970
30,563,943
31,592,938
32,571,960
33,617,1009
34,598,978
35,612,966
36,588,950
37,591,939
38,595,968
39,586,967
40,605,1014
41,583,934
42,646,1016
43,599,1046
44,607,992
45,577,986
46,573,884
47,575,962
48,602,968
49,562,957
50,610,982
