exp_id,number_of_variables_step1,number_of_variables_step2
1,870,798
2,841,810
3,742,925
4,624,910
5,503,910
6,817,829
7,830,917
8,648,1193
9,659,687
10,508,786
11,894,841
12,644,775
13,855,969
14,596,778
15,619,907
16,571,835
17,629,987
18,687,848
19,536,890
20,661,931
21,691,982
22,613,794
23,759,924
24,626,717
25,690,960
26,694,981
27,655,973
28,633,882
29,557,1090
30,738,914
31,489,997
32,620,1115
33,601,1283
34,529,1020
35,562,999
36,718,750
37,766,938
38,564,899
39,859,813
40,855,965
41,560,909
42,1543,1034
43,652,922
44,551,1125
45,679,1210
46,744,781
47,754,891
48,554,898
49,761,647
50,539,1072
