exp_id,number_of_variables_step1,number_of_variables_step2
1,85,666
2,85,759
3,85,654
4,85,738
5,85,726
6,85,746
7,85,758
8,85,770
9,85,732
10,85,754
11,85,700
12,85,693
13,85,712
14,85,702
15,85,645
16,85,697
17,85,727
18,85,718
19,85,764
20,85,747
21,85,774
22,85,737
23,85,663
24,85,767
25,85,726
26,85,707
27,85,752
28,85,730
29,85,667
30,85,640
31,84,717
32,85,778
33,85,732
34,85,756
35,85,723
36,85,733
37,85,752
38,85,691
39,85,717
40,85,737
41,85,710
42,85,774
43,85,777
44,85,698
45,85,762
46,85,761
47,85,743
48,85,744
49,85,760
50,85,786
