exp_id,number_of_variables_step1,number_of_variables_step2
1,24,3
2,45,2
3,40,3
4,124,9
5,37,2
6,6,10
7,150,37
8,130,1
9,10,2
10,74,1
11,6,11
12,64,13
13,68,109
14,71,90
15,26,51
16,147,29
17,69,1
18,148,41
19,18,14
20,4,4
21,36,3
22,11,10
23,68,106
24,140,11
25,4,3
26,9,11
27,11,2
28,156,44
29,4,3
30,33,11
31,68,16
32,20,58
33,21,71
34,9,14
35,19,3
36,115,26
37,105,7
38,8,2
39,26,5
40,12,2
41,6,11
42,18,40
43,27,2
44,28,6
45,16,1
46,71,1
47,76,3
48,145,1
49,147,5
50,19,66
