exp_id,number_of_variables_step1,number_of_variables_step2
1,349,435
2,313,393
3,359,428
4,345,436
5,354,438
6,345,404
7,341,429
8,340,441
9,347,440
10,320,426
11,330,403
12,353,437
13,374,450
14,351,422
15,331,432
16,331,403
17,359,428
18,323,398
19,330,423
20,351,414
21,345,435
22,341,410
23,346,432
24,365,432
25,315,359
26,318,423
27,355,416
28,331,415
29,338,408
30,342,420
31,324,383
32,315,370
33,340,422
34,349,417
35,341,432
36,333,440
37,367,444
38,365,436
39,334,414
40,346,421
41,333,441
42,348,414
43,330,424
44,338,395
45,355,444
46,339,397
47,350,419
48,371,442
49,373,426
50,351,440
