exp_id,number_of_variables_step1,number_of_variables_step2
1,84,79
2,61,46
3,67,91
4,47,57
5,89,102
6,87,62
7,344,162
8,90,82
9,83,73
10,59,52
11,86,27
12,90,97
13,90,91
14,130,58
15,72,71
16,91,64
17,81,58
18,50,58
19,130,48
20,80,330
21,91,42
22,87,30
23,96,86
24,67,76
25,58,41
26,58,56
27,79,103
28,106,60
29,118,143
30,65,46
31,98,78
32,39,39
33,231,94
34,77,84
35,182,149
36,185,68
37,83,101
38,69,49
39,48,71
40,184,69
41,69,95
42,86,50
43,74,125
44,67,36
45,62,79
46,88,54
47,60,53
48,43,48
49,64,44
50,47,68
