exp_id,number_of_variables_step1,number_of_variables_step2
1,200,385
2,133,253
3,115,235
4,265,318
5,217,351
6,227,502
7,367,288
8,274,214
9,434,450
10,321,404
11,122,395
12,236,371
13,105,173
14,84,180
15,206,181
16,161,233
17,391,287
18,104,150
19,155,182
20,198,328
21,310,237
22,100,374
23,186,382
24,243,173
25,120,132
26,123,126
27,184,261
28,181,183
29,167,341
30,225,142
31,274,588
32,215,230
33,100,182
34,221,277
35,176,467
36,398,62
37,121,222
38,207,130
39,160,129
40,105,373
41,196,493
42,427,377
43,223,409
44,121,263
