exp_id,number_of_variables_step1,number_of_variables_step2
1,49,1022
2,49,1016
3,49,1028
4,49,1040
5,49,1030
6,49,1019
7,49,1025
8,49,1029
9,49,1032
10,49,1021
11,49,1021
12,49,1020
13,49,1004
14,49,1038
15,49,1020
16,49,999
17,49,1026
18,49,1014
19,49,1014
20,49,1021
21,49,1023
22,49,1023
23,49,1037
24,49,1026
25,49,1019
26,49,1022
27,49,1024
28,49,1020
29,49,1035
30,49,1026
31,49,1016
32,49,1028
33,49,1015
34,49,1019
35,49,1019
36,49,1031
37,49,1021
38,49,1014
39,49,1018
40,49,1028
41,49,1017
42,49,1017
43,49,1021
44,49,1009
45,49,1022
46,49,1020
47,49,1024
48,49,1017
49,49,1020
50,49,1029
