exp_id,number_of_variables_step1,number_of_variables_step2
1,1816,2877
2,1778,2831
3,1775,3031
4,1763,2907
5,1757,2915
6,1816,2870
7,1776,2810
8,1803,2929
9,1787,2919
10,1779,2886
11,1793,2910
12,1773,2905
13,1814,3076
14,1720,2831
15,1767,2919
16,1773,2879
17,1749,2976
18,1796,2948
19,1775,2964
20,1764,2940
21,1772,2916
22,1829,3026
23,1810,2971
24,1814,2869
25,1796,2878
26,1747,2945
27,1735,2873
28,1815,2890
29,1777,2928
30,1750,2970
31,1753,2852
32,1805,2862
33,1818,3007
34,1768,3046
35,1795,2939
36,1808,2866
37,1782,2923
38,1816,2904
39,1784,2803
40,1742,2935
41,1769,2935
42,1750,2952
43,1776,2924
44,1800,2845
45,1760,2982
46,1815,2953
47,1797,2983
48,1773,2968
49,1820,2929
50,1776,2956
